time,longitude,latitude,pressure,height,temperature,dewpoint,ice_point_temperature,relative_humidity,humidity_wrt_ice,mixing_ratio,direction,speed,u_wind,v_wind,station
2026-04-01 11:20:13,114.1726,22.3115,1004.5,66.0,24.3,19.2,19.2,73,73,14.04,0,0.0,-0.0,-0.0,45004
2026-04-01 11:20:15,114.1726,22.3116,1001.9,89.0,24.4,18.5,18.5,70,70,13.51,190,0.5,0.08682408883346523,0.492403876506104,45004
2026-04-01 11:20:16,114.1726,22.3116,1000.8,98.0,24.3,18.3,18.3,69,69,13.34,192,0.6,0.1247470144906557,0.5868885604402834,45004
2026-04-01 11:20:17,114.1726,22.3116,1000.0,105.0,24.3,18.3,18.3,69,69,13.32,192,0.6,0.1247470144906557,0.5868885604402834,45004
2026-04-01 11:20:19,114.1726,22.3116,999.5,110.0,24.2,18.2,18.2,69,69,13.3,194,0.6,0.1451531373598005,0.5821774357655979,45004
2026-04-01 11:20:21,114.1726,22.3116,998.1,121.0,24.2,18.2,18.2,69,69,13.28,196,0.7,0.19294614907189928,0.6728831871568232,45004
2026-04-01 11:20:23,114.1726,22.3117,996.8,133.0,24.0,18.3,18.3,71,71,13.39,198,0.7,0.2163118960624631,0.6657395614066075,45004
2026-04-01 11:20:25,114.1726,22.3116,995.6,144.0,23.9,18.2,18.2,71,71,13.34,200,0.7,0.23941410032796803,0.6577848345501358,45004
2026-04-01 11:20:27,114.1727,22.3116,994.6,153.0,23.8,18.0,18.0,70,70,13.19,201,0.7,0.2508575646817103,0.6535062985480411,45004
2026-04-01 11:20:29,114.1726,22.3117,993.6,162.0,23.8,18.1,18.1,71,71,13.26,202,0.8,0.2996852747327296,0.74174708365343,45004
2026-04-01 11:20:31,114.1726,22.3117,992.3,173.0,23.6,18.1,18.1,71,71,13.3,203,0.7,0.2735117899424915,0.6443533974167083,45004
2026-04-01 11:20:33,114.1727,22.3117,990.9,185.0,23.5,18.0,18.0,71,71,13.25,203,0.7,0.2735117899424915,0.6443533974167083,45004
2026-04-01 11:20:35,114.1727,22.3117,989.7,196.0,23.5,18.0,18.0,71,71,13.23,203,0.7,0.2735117899424915,0.6443533974167083,45004
2026-04-01 11:20:37,114.1727,22.3117,988.5,206.0,23.4,18.0,18.0,72,72,13.25,202,0.6,0.22476395604954721,0.5563103127400725,45004
2026-04-01 11:20:39,114.1727,22.3117,987.3,217.0,23.3,18.0,18.0,72,72,13.25,201,0.6,0.21502076972718026,0.560148255898321,45004
2026-04-01 11:20:41,114.1727,22.3118,986.0,229.0,23.1,18.0,18.0,73,73,13.3,200,0.5,0.17101007166283433,0.4698463103929542,45004
2026-04-01 11:20:43,114.1727,22.3117,984.5,242.0,23.0,18.0,18.0,73,73,13.26,199,0.5,0.16278407722857838,0.47275928779965837,45004
2026-04-01 11:20:45,114.1728,22.3117,983.3,253.0,22.9,17.9,17.9,74,74,13.24,198,0.4,0.12360679774997892,0.3804226065180615,45004
2026-04-01 11:20:47,114.1728,22.3117,982.6,258.0,22.8,17.9,17.9,74,74,13.27,199,0.4,0.1302272617828627,0.3782074302397267,45004
2026-04-01 11:20:49,114.1727,22.3118,981.9,265.0,22.7,17.9,17.9,75,75,13.28,202,0.3,0.11238197802477361,0.27815515637003624,45004
2026-04-01 11:20:51,114.1727,22.3117,980.2,280.0,22.6,17.9,17.9,75,75,13.27,206,0.3,0.13151134403672324,0.26963821388975007,45004
2026-04-01 11:20:53,114.1727,22.3118,978.8,292.0,22.5,17.9,17.9,75,75,13.27,211,0.3,0.15451142247301625,0.2571501902106337,45004
2026-04-01 11:20:55,114.1727,22.3118,977.6,303.0,22.4,17.9,17.9,75,75,13.27,217,0.3,0.1805445069456145,0.23959065301418783,45004
2026-04-01 11:20:57,114.1727,22.3118,976.4,314.0,22.3,17.8,17.8,76,76,13.26,221,0.4,0.2624236115962028,0.30188383208910885,45004
2026-04-01 11:20:59,114.1727,22.3118,975.3,324.0,22.3,17.8,17.8,76,76,13.26,223,0.4,0.27279934402499934,0.2925414806476682,45004
2026-04-01 11:21:01,114.1728,22.3118,974.2,334.0,22.1,18.0,18.0,78,78,13.46,224,0.5,0.3473291852294987,0.35966990016932554,45004
2026-04-01 11:21:03,114.1727,22.3118,973.1,343.0,22.0,17.9,17.9,78,78,13.4,223,0.5,0.3409991800312492,0.3656768508095853,45004
2026-04-01 11:21:05,114.1728,22.3118,972.0,353.0,22.0,17.9,17.9,78,78,13.4,222,0.6,0.40147836381531493,0.44588689528643655,45004
2026-04-01 11:21:07,114.1728,22.3118,970.8,364.0,21.9,17.9,17.9,78,78,13.4,219,0.6,0.37759223462990255,0.46628757687418243,45004
2026-04-01 11:21:09,114.1728,22.3118,969.6,375.0,21.8,17.8,17.8,78,78,13.31,217,0.7,0.42127051620643385,0.5590448570331049,45004
2026-04-01 11:21:11,114.1728,22.3118,968.5,385.0,21.8,17.3,17.3,76,76,12.95,215,0.7,0.40150350544573227,0.5734064310022943,45004
2026-04-01 11:21:13,114.1728,22.3119,967.4,395.0,21.7,17.2,17.2,75,75,12.83,215,0.7,0.40150350544573227,0.5734064310022943,45004
2026-04-01 11:21:15,114.1728,22.3119,966.3,405.0,21.6,17.3,17.3,76,76,12.94,215,0.7,0.40150350544573227,0.5734064310022943,45004
2026-04-01 11:21:17,114.1728,22.3119,965.1,415.0,21.5,17.2,17.2,76,76,12.87,217,0.7,0.42127051620643385,0.5590448570331049,45004
2026-04-01 11:21:19,114.1728,22.3119,964.0,425.0,21.5,17.2,17.2,77,77,12.94,222,0.6,0.40147836381531493,0.44588689528643655,45004
2026-04-01 11:21:21,114.1728,22.312,962.9,435.0,21.4,17.3,17.3,78,78,13.0,232,0.6,0.4728064521640333,0.3693968851953948,45004
2026-04-01 11:21:23,114.1728,22.3119,961.9,444.0,21.3,17.5,17.5,79,79,13.2,248,0.5,0.46359192728339366,0.18730329670795615,45004
2026-04-01 11:21:25,114.1728,22.3119,960.7,455.0,21.3,17.6,17.6,80,80,13.31,268,0.5,0.4996954135095479,0.01744974835125038,45004
2026-04-01 11:21:27,114.1729,22.312,959.7,464.0,21.3,17.6,17.6,80,80,13.29,289,0.6,0.5673111453595902,-0.19534089267429378,45004
2026-04-01 11:21:29,114.1729,22.312,958.6,474.0,21.4,17.7,17.7,80,80,13.41,305,0.7,0.5734064310022943,-0.4015035054457322,45004
2026-04-01 11:21:31,114.1729,22.312,957.5,484.0,21.3,17.7,17.7,80,80,13.39,315,0.9,0.636396103067893,-0.6363961030678926,45004
2026-04-01 11:21:33,114.1729,22.3119,956.2,496.0,21.1,17.6,17.6,80,80,13.34,322,1.1,0.677227622858224,-0.8668118289673944,45004
