time,longitude,latitude,pressure,height,temperature,dewpoint,ice_point_temperature,relative_humidity,humidity_wrt_ice,mixing_ratio,direction,speed,u_wind,v_wind,station
2026-04-01 12:00:42,13.2259,-8.8597,999.7,77.0,31.7,23.4,23.4,62,62,18.39,76,0.9,-0.8732661536483969,-0.2177297060397009,66160
2026-04-01 12:00:44,13.2258,-8.8597,998.8,85.0,30.3,22.2,22.2,62,62,17.13,79,0.8,-0.7853017467581312,-0.15264719630123594,66160
2026-04-01 12:00:46,13.2257,-8.8597,997.9,93.0,29.0,21.1,21.1,62,62,15.94,83,0.8,-0.7940369213130576,-0.097495474724118,66160
2026-04-01 12:00:48,13.2257,-8.8597,997.0,101.0,28.2,20.6,20.6,63,63,15.53,86,0.9,-0.8978076452338418,-0.06278082636971272,66160
2026-04-01 12:00:50,13.2256,-8.8597,996.1,109.0,28.3,20.8,20.8,64,64,15.69,88,0.9,-0.8994517443171862,-0.031409547032250976,66160
2026-04-01 12:00:52,13.2257,-8.8596,995.2,117.0,28.2,20.7,20.7,64,64,15.64,88,0.9,-0.8994517443171862,-0.031409547032250976,66160
2026-04-01 12:00:54,13.2257,-8.8597,994.6,123.0,28.2,20.8,20.8,64,64,15.68,86,1.0,-0.9975640502598242,-0.06975647374412523,66160
2026-04-01 12:00:56,13.2257,-8.8598,993.9,129.0,28.0,20.8,20.8,65,65,15.77,83,1.1,-1.0918007668054543,-0.13405627774566226,66160
2026-04-01 12:00:58,13.2257,-8.8598,993.0,137.0,27.9,20.9,20.9,66,66,15.84,81,1.1,-1.0864571746546516,-0.17207791154425403,66160
2026-04-01 12:01:00,13.2257,-8.8599,992.7,140.0,27.8,20.8,20.8,66,66,15.78,79,1.2,-1.1779526201371968,-0.2289707944518539,66160
2026-04-01 12:01:02,13.2257,-8.8598,991.8,148.0,27.8,20.7,20.7,65,65,15.7,77,1.2,-1.1692440777422823,-0.2699412652126379,66160
2026-04-01 12:01:04,13.2257,-8.8598,990.6,158.0,27.7,20.9,20.9,67,67,15.87,75,1.2,-1.159110991546882,-0.3105828541230249,66160
2026-04-01 12:01:06,13.2256,-8.8598,989.8,166.0,27.7,20.9,20.9,67,67,15.89,73,1.2,-1.1475657071556424,-0.3508460456672841,66160
2026-04-01 12:01:08,13.2256,-8.8598,988.9,173.0,27.6,20.7,20.7,66,66,15.67,70,1.3,-1.2216004070216808,-0.4446261863233695,66160
2026-04-01 12:01:10,13.2256,-8.8598,987.8,183.0,27.5,20.3,20.3,65,65,15.38,66,1.3,-1.1876090949353812,-0.5287576359985403,66160
2026-04-01 12:01:12,13.2256,-8.8597,986.8,193.0,27.5,20.2,20.2,64,64,15.24,64,1.4,-1.2583116648188337,-0.6137196055047084,66160
2026-04-01 12:01:14,13.2256,-8.8596,985.8,202.0,27.4,20.0,20.0,64,64,15.07,60,1.4,-1.212435565298214,-0.7000000000000001,66160
2026-04-01 12:01:16,13.2255,-8.8597,984.8,211.0,27.3,20.5,20.5,67,67,15.63,58,1.5,-1.272072144234639,-0.7948788963498074,66160
2026-04-01 12:01:18,13.2254,-8.8598,983.8,219.0,27.1,20.4,20.4,67,67,15.54,58,1.5,-1.272072144234639,-0.7948788963498074,66160
2026-04-01 12:01:20,13.2254,-8.8598,982.7,229.0,27.1,20.5,20.5,67,67,15.65,58,1.5,-1.272072144234639,-0.7948788963498074,66160
2026-04-01 12:01:22,13.2254,-8.8597,981.5,240.0,27.1,20.6,20.6,68,68,15.73,58,1.5,-1.272072144234639,-0.7948788963498074,66160
2026-04-01 12:01:24,13.2253,-8.8598,980.6,248.0,27.0,20.5,20.5,68,68,15.63,60,1.6,-1.3856406460551018,-0.8000000000000003,66160
2026-04-01 12:01:26,13.2253,-8.8598,979.9,254.0,26.9,20.5,20.5,68,68,15.64,62,1.6,-1.4127161485742832,-0.7511545004574254,66160
2026-04-01 12:01:28,13.2253,-8.8599,979.0,263.0,26.8,20.5,20.5,68,68,15.67,63,1.7,-1.5147110911202253,-0.7717838495572297,66160
2026-04-01 12:01:30,13.2253,-8.8599,978.2,270.0,26.7,20.5,20.5,69,69,15.7,62,1.8,-1.5893056671460684,-0.8450488130146036,66160
2026-04-01 12:01:32,13.2253,-8.86,977.5,277.0,26.5,20.8,20.8,71,71,15.99,61,1.9,-1.6617774435648518,-0.9211382784680405,66160
2026-04-01 12:01:34,13.2253,-8.86,976.4,286.0,26.4,20.9,20.9,72,72,16.11,60,2.0,-1.7320508075688772,-1.0000000000000002,66160
2026-04-01 12:01:36,13.2251,-8.8601,975.7,293.0,26.3,20.9,20.9,72,72,16.13,58,2.0,-1.696096192312852,-1.0598385284664098,66160
2026-04-01 12:01:38,13.225,-8.8601,974.9,300.0,26.3,20.1,20.1,69,69,15.33,56,2.1,-1.7409789023655877,-1.1743050972885682,66160
2026-04-01 12:01:40,13.225,-8.8601,974.1,307.0,26.3,20.2,20.2,69,69,15.45,54,2.1,-1.6989356881873898,-1.2343490298141937,66160
2026-04-01 12:01:42,13.2251,-8.8602,973.2,315.0,26.3,19.8,19.8,68,68,15.1,53,2.2,-1.7569981221040443,-1.3239930509345064,66160
2026-04-01 12:01:44,13.2251,-8.8602,972.4,322.0,26.2,20.1,20.1,69,69,15.37,51,2.2,-1.7097211152053362,-1.3845048603096424,66160
2026-04-01 12:01:46,13.2251,-8.8601,971.6,330.0,26.1,20.4,20.4,71,71,15.71,49,2.2,-1.6603610764900987,-1.443329863779116,66160
2026-04-01 12:01:48,13.2251,-8.8602,970.3,342.0,26.0,20.0,20.0,69,69,15.29,49,2.2,-1.6603610764900987,-1.443329863779116,66160
2026-04-01 12:01:50,13.225,-8.8602,969.3,351.0,25.9,20.1,20.1,70,70,15.41,49,2.2,-1.6603610764900987,-1.443329863779116,66160
2026-04-01 12:01:52,13.2249,-8.8602,968.7,357.0,25.8,20.2,20.2,71,71,15.51,51,2.2,-1.7097211152053362,-1.3845048603096424,66160
2026-04-01 12:01:54,13.2249,-8.8601,968.0,363.0,25.7,20.3,20.3,72,72,15.71,53,2.2,-1.7569981221040443,-1.3239930509345064,66160
2026-04-01 12:01:56,13.2249,-8.8602,967.0,372.0,25.7,19.8,19.8,70,70,15.15,56,2.2,-1.823882659621092,-1.2302243876356431,66160
2026-04-01 12:01:58,13.2248,-8.8602,966.0,381.0,25.6,20.3,20.3,72,72,15.68,58,2.2,-1.8657058115441372,-1.1658223813130508,66160
2026-04-01 12:02:00,13.2248,-8.8602,965.1,389.0,25.4,20.3,20.3,73,73,15.7,60,2.2,-1.905255888325765,-1.1000000000000003,66160
2026-04-01 12:02:02,13.2247,-8.8602,964.2,397.0,25.4,20.1,20.1,72,72,15.52,60,2.2,-1.905255888325765,-1.1000000000000003,66160
2026-04-01 12:02:04,13.2248,-8.8602,963.5,404.0,25.3,20.7,20.7,76,76,16.14,60,2.1,-1.818653347947321,-1.0500000000000003,66160
2026-04-01 12:02:06,13.2247,-8.8603,962.9,409.0,25.1,20.6,20.6,76,76,16.0,60,2.1,-1.818653347947321,-1.0500000000000003,66160
2026-04-01 12:02:08,13.2247,-8.8604,962.2,416.0,25.0,20.5,20.5,77,77,16.0,60,2.2,-1.905255888325765,-1.1000000000000003,66160
2026-04-01 12:02:10,13.2246,-8.8604,960.9,427.0,24.9,20.5,20.5,76,76,15.99,60,2.2,-1.905255888325765,-1.1000000000000003,66160
2026-04-01 12:02:12,13.2246,-8.8604,959.4,441.0,24.8,20.5,20.5,77,77,16.01,60,2.2,-1.905255888325765,-1.1000000000000003,66160
2026-04-01 12:02:14,13.2246,-8.8604,958.0,454.0,24.7,20.5,20.5,77,77,16.0,59,2.2,-1.8857680615446473,-1.1330837648021193,66160
2026-04-01 12:02:16,13.2245,-8.8604,957.1,463.0,24.7,20.5,20.5,78,78,16.08,60,2.2,-1.905255888325765,-1.1000000000000003,66160
2026-04-01 12:02:18,13.2244,-8.8604,956.2,470.0,24.6,20.5,20.5,78,78,16.03,61,2.1,-1.8367013849927312,-1.018100202517308,66160
2026-04-01 12:02:20,13.2244,-8.8605,955.9,473.0,24.6,20.3,20.3,77,77,15.83,62,2.0,-1.7658951857178538,-0.9389431255717817,66160
2026-04-01 12:02:22,13.2244,-8.8605,954.6,485.0,24.6,20.1,20.1,76,76,15.68,63,2.1,-1.8711137007955727,-0.9533800494530484,66160
2026-04-01 12:02:24,13.2244,-8.8605,953.5,495.0,24.7,19.6,19.6,73,73,15.19,65,2.1,-1.903246352776965,-0.8874983496554688,66160
2026-04-01 12:02:26,13.2243,-8.8605,952.5,504.0,24.6,19.9,19.9,75,75,15.57,68,2.1,-1.9470860945902537,-0.7866738461734152,66160
2026-04-01 12:02:28,13.2242,-8.8606,951.9,510.0,24.5,19.5,19.5,74,74,15.13,69,2.0,-1.8671608529944035,-0.7167358990906008,66160
2026-04-01 12:02:30,13.2242,-8.8606,951.3,516.0,24.6,19.3,19.3,73,73,15.0,71,1.9,-1.7964852936387017,-0.6185794934685978,66160
