N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
0,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,3.0,3.153,34.838
1,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,3.9,3.153,34.838
2,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,5.0,3.153,34.837
3,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,6.1,3.154,34.838
4,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,6.8,3.154,34.838
5,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,7.9,3.154,34.836
6,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,9.1,3.152,34.837
7,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,9.9,3.152,34.837
8,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,10.8,3.152,34.837
9,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,11.9,3.152,34.837
10,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,13.2,3.15,34.838
11,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,13.9,3.148,34.836
12,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,14.8,3.147,34.839
13,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,16.0,3.142,34.836
14,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,17.2,3.132,34.839
15,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,18.1,3.131,34.837
16,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,19.0,3.131,34.837
17,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,19.9,3.131,34.837
18,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,20.7,3.131,34.837
19,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,21.6,3.132,34.837
20,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,22.9,3.131,34.837
21,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,24.3,3.131,34.837
22,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,25.2,3.122,34.839
23,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,26.1,3.119,34.839
24,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,27.0,3.118,34.84
