N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
0,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,6.01,-0.242,34.0344
1,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,7.93,-0.24,34.0325
2,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,10.23,-0.241,34.0326
3,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,12.08,-0.24,34.0327
4,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,13.89,-0.241,34.0339
5,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,15.99,-0.243,34.0355
6,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,18.11,-0.242,34.0349
7,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,20.09,-0.241,34.0341
8,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,22.1,-0.242,34.0345
9,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,24.17,-0.242,34.0348
10,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,26.18,-0.243,34.0361
11,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,28.23,-0.243,34.0357
12,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,30.32,-0.241,34.0342
13,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,32.22,-0.243,34.0358
14,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,34.03,-0.242,34.0347
15,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,35.97,-0.246,34.0412
16,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,37.84,-0.245,34.0396
17,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,40.01,-0.245,34.0399
18,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,44.09,-0.243,34.0359
19,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,48.02,-0.26,34.063
20,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,52.35,-0.283,34.0753
21,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,55.83,-0.298,34.0822
22,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,59.81,-0.323,34.0917
23,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,63.3,-0.355,34.0983
