N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
0,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,0.92,25.219,37.641
1,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,1.92,25.228,37.641
2,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,2.92,25.225,37.642
3,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,3.88,25.218,37.637
4,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,4.96,25.244,37.656
5,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,5.96,25.263,37.678
6,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,6.96,25.263,37.68
7,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,8.0,25.264,37.682
8,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,9.0,25.265,37.682
9,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,10.28,25.265,37.685
10,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,12.04,25.26,37.692
11,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,13.96,25.251,37.703
12,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,15.92,25.246,37.707
13,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,17.92,25.241,37.708
14,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,19.92,25.238,37.708
15,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,22.04,25.235,37.707
16,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,24.04,25.231,37.707
17,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,25.92,25.226,37.706
18,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,27.96,25.222,37.705
19,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,29.96,25.216,37.703
20,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,31.96,25.207,37.702
21,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,34.0,25.201,37.701
