N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
0,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,3.1,15.192,34.849
1,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,4.1,15.187,34.849
2,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,5.1,15.19,34.848
3,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,5.8,15.19,34.853
4,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,6.9,15.193,34.85
5,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,8.0,15.196,34.849
6,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,8.8,15.193,34.85
7,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,10.0,15.198,34.849
8,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,11.2,15.196,34.848
9,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,12.0,15.194,34.849
10,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,12.8,15.194,34.851
11,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,13.9,15.196,34.849
12,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,15.2,15.198,34.851
13,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,16.0,15.194,34.852
14,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,16.8,15.193,34.851
15,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,17.7,15.212,34.858
16,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,18.9,15.215,34.856
17,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,20.3,15.225,34.861
18,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,21.2,15.217,34.86
19,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,22.1,15.211,34.858
20,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,23.0,15.209,34.858
21,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,23.9,15.207,34.859
22,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,24.9,15.214,34.861
23,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,25.8,15.21,34.86
